split,target_mult,stop_mult,n,hit,stop,timeout,expectancy_atr
oos,0.3,0.5,688,0.5116279069767442,0.4883720930232558,0.0,-0.09069767441860466
oos,0.3,0.75,688,0.6395348837209303,0.36046511627906974,0.0,-0.07848837209302326
oos,0.3,1.0,688,0.7267441860465116,0.27325581395348836,0.0,-0.055232558139534885
oos,0.3,1.5,688,0.7921511627906976,0.2063953488372093,0.0014534883720930232,-0.07194767441860465
oos,0.5,0.5,688,0.44622093023255816,0.5537790697674418,0.0,-0.05377906976744186
oos,0.5,0.75,688,0.563953488372093,0.43459302325581395,0.0014534883720930232,-0.043968023255813955
oos,0.5,1.0,688,0.6424418604651163,0.3561046511627907,0.0014534883720930232,-0.03488372093023256
oos,0.5,1.5,688,0.7107558139534884,0.2805232558139535,0.00872093023255814,-0.06540697674418605
oos,0.75,0.5,688,0.3648255813953488,0.6351744186046512,0.0,-0.043968023255813955
oos,0.75,0.75,688,0.46075581395348836,0.5377906976744186,0.0014534883720930232,-0.05777616279069767
oos,0.75,1.0,688,0.5450581395348837,0.45348837209302323,0.0014534883720930232,-0.04469476744186047
oos,0.75,1.5,688,0.623546511627907,0.3633720930232558,0.01308139534883721,-0.07739825581395349
oos,1.0,0.5,688,0.30523255813953487,0.6933139534883721,0.0014534883720930232,-0.04142441860465116
oos,1.0,0.75,688,0.4069767441860465,0.5857558139534884,0.007267441860465116,-0.03234011627906977
oos,1.0,1.0,688,0.4883720930232558,0.502906976744186,0.00872093023255814,-0.014534883720930232
oos,1.0,1.5,688,0.5683139534883721,0.3953488372093023,0.036337209302325583,-0.024709302325581394
oos,1.5,0.5,688,0.22819767441860464,0.7659883720930233,0.005813953488372093,-0.040697674418604654
oos,1.5,0.75,688,0.313953488372093,0.6671511627906976,0.0188953488372093,-0.02943313953488372
oos,1.5,1.0,688,0.3851744186046512,0.5828488372093024,0.03197674418604651,-0.005087209302325582
oos,1.5,1.5,688,0.45058139534883723,0.45930232558139533,0.09011627906976744,-0.01308139534883721
