split,target_mult,stop_mult,n_train,hit_train,stop,timeout,exp_train,n_oos,hit_oos,exp_oos,base_train,base_oos,edge_train,edge_oos
train,0.3,0.5,1141,0.4583698510078878,0.5416301489921121,0.0,-0.13330411919368973,74,0.36486486486486486,-0.20810810810810812,-0.07708161582852432,-0.08504672897196262,-0.056222503365165405,-0.1230613791361455
train,0.3,0.75,1141,0.6038562664329535,0.39614373356704646,0.0,-0.11595092024539878,74,0.4864864864864865,-0.23918918918918922,-0.06665292662819458,-0.048364485981308415,-0.0492979936172042,-0.1908247032078808
train,0.3,1.0,1141,0.7037686240140227,0.2962313759859772,0.0,-0.0851007887817704,74,0.5540540540540541,-0.27972972972972976,-0.055131904369332234,-0.03714953271028039,-0.02996888441243816,-0.24258019701944938
train,0.3,1.5,1141,0.7940403155127082,0.20508326029798424,0.0008764241893076249,-0.06941279579316388,74,0.6756756756756757,-0.28378378378378377,-0.04767106347897773,-0.007009345794392523,-0.02174173231418615,-0.2767744379893913
train,0.5,0.5,1141,0.42068361086765993,0.5793163891323401,0.0,-0.07931638913234006,74,0.33783783783783783,-0.16216216216216217,-0.028338829348722176,-0.016355140186915886,-0.050977559783617885,-0.14580702197524628
train,0.5,0.75,1141,0.544259421560035,0.45574057843996496,0.0,-0.06967572304995617,74,0.43243243243243246,-0.20945945945945946,-0.031945589447650455,-0.014018691588785047,-0.03773013360230572,-0.1954407678706744
train,0.5,1.0,1141,0.6345311130587205,0.36459246275197194,0.0008764241893076249,-0.04732690622261174,74,0.5135135135135135,-0.22972972972972974,-0.0286479802143446,-0.02570093457943925,-0.018678926008267142,-0.2040287951502905
train,0.5,1.5,1141,0.726555652936021,0.26818580192813324,0.0052585451358457495,-0.039000876424189306,74,0.6351351351351351,-0.22972972972972974,-0.03483099752679308,-0.014018691588785047,-0.004169878897396229,-0.2157110381409447
train,0.75,0.5,1141,0.37160385626643294,0.628396143733567,0.0,-0.03549517966695881,74,0.28378378378378377,-0.14527027027027026,-0.0006183017312448475,0.011098130841121495,-0.034876877935713965,-0.15636840111139175
train,0.75,0.75,1141,0.4715162138475022,0.5267309377738826,0.0017528483786152498,-0.04141104294478527,74,0.36486486486486486,-0.20270270270270271,-0.006492168178070899,0.02453271028037383,-0.034918874766714375,-0.22723541298307653
train,0.75,1.0,1141,0.5600350569675723,0.43558282208588955,0.0043821209465381246,-0.015556529360210342,74,0.44594594594594594,-0.2195945945945946,-0.009841302555647156,-0.006425233644859813,-0.0057152268045631855,-0.2131693609497348
train,0.75,1.5,1141,0.6538124452234881,0.3312883435582822,0.014899211218229623,-0.006573181419807186,74,0.5540540540540541,-0.23310810810810811,-0.027669002473206927,-0.0017523364485981308,0.02109582105339974,-0.23135577165951
train,1.0,0.5,1141,0.32077125328659073,0.6765994741454864,0.0026292725679228747,-0.017528483786152498,74,0.2702702702702703,-0.0945945945945946,0.008244023083264633,0.018691588785046728,-0.02577250686941713,-0.11328618337964133
train,1.0,0.75,1141,0.4075372480280456,0.5872042068361086,0.0052585451358457495,-0.03286590709903593,74,0.35135135135135137,-0.13513513513513514,-0.003606760098928277,0.03271028037383177,-0.029259147000107656,-0.16784541550896692
train,1.0,1.0,1141,0.49430324276950044,0.49693251533742333,0.008764241893076249,-0.0026292725679228747,74,0.40540540540540543,-0.1891891891891892,-0.00886232481450948,0.03271028037383177,0.0062330522465866055,-0.22189946956302098
train,1.0,1.5,1141,0.5880806310254163,0.38475021910604734,0.02716914986853637,0.010955302366345312,74,0.5135135135135135,-0.17567567567567569,-0.027720527617477328,0.04906542056074766,0.03867582998382264,-0.22474109623642335
train,1.5,0.5,1141,0.26029798422436456,0.733567046450482,0.006134969325153374,0.02366345311130587,74,0.21621621621621623,-0.06756756756756757,0.01679719703215169,0.030373831775700934,0.006866256079154181,-0.09794139934326851
train,1.5,0.75,1141,0.32953549517966696,0.656441717791411,0.014022787028921999,0.001971954425942156,74,0.2972972972972973,-0.08108108108108109,0.00494641384995878,0.0455607476635514,-0.002974459424016624,-0.12664182874463248
train,1.5,1.0,1141,0.3987730061349693,0.5740578439964943,0.02716914986853637,0.024101665205959685,74,0.35135135135135137,-0.12162162162162163,-0.0027823577906018137,0.030373831775700934,0.026884022996561497,-0.15199545339732257
train,1.5,1.5,1141,0.4697633654688869,0.4574934268185802,0.07274320771253287,0.018404907975460124,74,0.43243243243243246,-0.16216216216216217,-0.01731244847485573,0.0630841121495327,0.03571735645031585,-0.22524627431169486
